transaction_id,date,product,units,unit_price,in_stock
TX00000,2025-01-01,Doohickey,13,36.16,False
TX00001,2025-01-01,Widget,4,48.73,False
TX00002,2025-01-01,Widget,16,9.33,False
TX00003,2025-01-01,Widget,6,24.63,True
TX00004,2025-01-01,Gadget,14,35.3,True
TX00005,2025-01-01,Doohickey,16,17.46,True
TX00006,2025-01-01,Gadget,7,46.62,False
TX00007,2025-01-01,Widget,9,32.13,True
TX00008,2025-01-01,Gadget,13,8.4,False
TX00009,2025-01-01,Gadget,6,11.96,False
TX00010,2025-01-01,Doohickey,11,11.45,False
TX00011,2025-01-01,Doohickey,8,25.52,False
TX00012,2025-01-01,Doohickey,6,45.96,True
TX00013,2025-01-01,Widget,6,10.05,False
TX00014,2025-01-01,Doohickey,3,11.81,True
TX00015,2025-01-01,Widget,14,14.53,True
TX00016,2025-01-01,Gadget,11,30.79,True
TX00017,2025-01-01,Widget,2,24.36,False
TX00018,2025-01-01,Widget,18,23.82,False
TX00019,2025-01-01,Gadget,6,11.52,False
TX00020,2025-01-01,Widget,5,42.09,True
TX00021,2025-01-01,Gadget,7,26.58,False
TX00022,2025-01-01,Widget,6,43.96,False
TX00023,2025-01-01,Widget,4,6.36,False
TX00024,2025-01-02,Doohickey,19,25.6,False
TX00025,2025-01-02,Gadget,15,21.58,False
TX00026,2025-01-02,Doohickey,12,42.86,False
TX00027,2025-01-02,Doohickey,4,36.15,True
TX00028,2025-01-02,Doohickey,13,28.44,False
TX00029,2025-01-02,Gadget,6,12.26,False
TX00030,2025-01-02,Widget,7,35.72,False
TX00031,2025-01-02,Gadget,2,45.32,True
TX00032,2025-01-02,Doohickey,19,39.95,True
TX00033,2025-01-02,Doohickey,15,48.52,False
TX00034,2025-01-02,Doohickey,12,31.61,False
TX00035,2025-01-02,Doohickey,7,19.12,True
TX00036,2025-01-02,Gadget,9,14.95,True
TX00037,2025-01-02,Gadget,13,40.97,False
TX00038,2025-01-02,Widget,9,41.53,True
TX00039,2025-01-02,Widget,5,33.56,True
TX00040,2025-01-02,Widget,7,40.19,False
TX00041,2025-01-02,Gadget,1,26.87,False
TX00042,2025-01-02,Gadget,9,43.32,False
TX00043,2025-01-02,Gadget,7,36.26,False
TX00044,2025-01-02,Doohickey,5,15.89,True
TX00045,2025-01-02,Doohickey,15,31.44,True
TX00046,2025-01-02,Doohickey,6,34.53,True
TX00047,2025-01-02,Doohickey,16,14.13,False
TX00048,2025-01-03,Doohickey,11,47.11,False
TX00049,2025-01-03,Widget,7,41.25,True
TX00050,2025-01-03,Doohickey,10,11.54,True
TX00051,2025-01-03,Doohickey,17,14.9,False
TX00052,2025-01-03,Widget,1,5.1,False
TX00053,2025-01-03,Gadget,1,47.27,False
TX00054,2025-01-03,Gadget,4,12.85,True
TX00055,2025-01-03,Doohickey,10,42.52,False
TX00056,2025-01-03,Doohickey,8,28.02,False
TX00057,2025-01-03,Widget,5,7.57,True
TX00058,2025-01-03,Gadget,8,14.51,False
TX00059,2025-01-03,Widget,9,16.6,False
TX00060,2025-01-03,Doohickey,7,39.4,True
TX00061,2025-01-03,Widget,5,21.54,False
TX00062,2025-01-03,Gadget,9,11.39,False
TX00063,2025-01-03,Doohickey,17,47.59,True
TX00064,2025-01-03,Gadget,1,28.15,True
TX00065,2025-01-03,Doohickey,6,8.0,False
TX00066,2025-01-03,Gadget,16,48.78,True
TX00067,2025-01-03,Doohickey,18,35.39,True
TX00068,2025-01-03,Gadget,15,24.85,True
TX00069,2025-01-03,Gadget,3,11.56,True
TX00070,2025-01-03,Gadget,3,36.2,False
TX00071,2025-01-03,Gadget,9,9.36,True
TX00072,2025-01-04,Gadget,1,47.27,True
TX00073,2025-01-04,Gadget,9,38.82,False
TX00074,2025-01-04,Doohickey,13,37.09,True
TX00075,2025-01-04,Gadget,14,39.66,True
TX00076,2025-01-04,Gadget,3,43.87,True
TX00077,2025-01-04,Doohickey,7,26.1,True
TX00078,2025-01-04,Widget,3,41.52,True
TX00079,2025-01-04,Gadget,10,9.96,True
TX00080,2025-01-04,Gadget,1,36.52,False
TX00081,2025-01-04,Doohickey,2,38.8,True
TX00082,2025-01-04,Gadget,19,14.51,True
TX00083,2025-01-04,Gadget,6,10.01,False
