product_line,month,warehouse,net_revenue
Braking system,June,Central,3648.14
Braking system,July,Central,3740.94
Braking system,August,Central,3009.1
Electrical system,June,Central,2875.93
Electrical system,July,Central,5521.94
Electrical system,August,North,4673.99
Engine,June,Central,6483.4
Engine,July,Central,1808.77
Engine,August,Central,9433.48
Frame & body,June,Central,5060.29
Frame & body,July,North,6093.11
Frame & body,August,Central,8571.5
Miscellaneous,June,West,2258.2
Miscellaneous,July,Central,3087.31
Miscellaneous,August,North,1823.03
Suspension & traction,June,North,7985.17
Suspension & traction,July,Central,6392.23
Suspension & traction,August,Central,5362.59
