product_line,client_type,avg_unit_price,avg_quantity_per_order,n_orders
Braking system,Retail,17.6,4.9,175
Braking system,Wholesale,18.19,23.1,55
Electrical system,Retail,25.5,5.6,155
Electrical system,Wholesale,25.93,22.0,38
Engine,Retail,59.87,5.8,48
Engine,Wholesale,60.92,26.8,13
Frame & body,Retail,42.81,5.4,128
Frame & body,Wholesale,42.91,24.5,38
Miscellaneous,Retail,22.54,5.5,92
Miscellaneous,Wholesale,23.65,22.3,30
Suspension & traction,Retail,33.98,5.7,177
Suspension & traction,Wholesale,33.94,22.1,51
