order_number,date,warehouse,client_type,product_line,quantity,total
C381,2021-08-08,Central,Wholesale,Engine,40,2546.33
N230,2021-08-02,North,Wholesale,Engine,40,2324.2
C23,2021-06-06,Central,Wholesale,Engine,36,2282.82
C149,2021-06-28,Central,Wholesale,Engine,36,2232.66
C392,2021-08-10,Central,Wholesale,Engine,36,2186.16
N280,2021-08-15,North,Wholesale,Frame & body,40,1846.13
C301,2021-07-26,Central,Wholesale,Engine,32,1827.04
N270,2021-08-12,North,Wholesale,Frame & body,36,1784.88
C68,2021-06-15,Central,Wholesale,Engine,28,1779.07
C89,2021-06-18,Central,Wholesale,Frame & body,36,1743.78
C354,2021-08-03,Central,Wholesale,Engine,28,1704.78
C350,2021-08-03,Central,Wholesale,Engine,28,1661.19
N245,2021-08-06,North,Wholesale,Suspension & traction,40,1604.33
W2,2021-06-01,West,Wholesale,Frame & body,40,1579.87
C414,2021-08-13,Central,Wholesale,Frame & body,32,1549.49
C272,2021-07-21,Central,Wholesale,Frame & body,40,1546.6
C447,2021-08-20,Central,Wholesale,Frame & body,32,1538.29
N195,2021-07-23,North,Wholesale,Frame & body,40,1496.6
N4,2021-06-01,North,Wholesale,Suspension & traction,40,1494.8
N154,2021-07-10,North,Wholesale,Frame & body,40,1481.6
